"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2022-09-26,"HI",5281.07295081967,754.438992974239,507.715445232466,72.5307778903524,1136.3,599,385.715445232466,209,80,153.285714285714,0,10880.1147540984,20.3178409007484,66.0551399073778,75.8370310609117,61.7224880382775,"No","No","Has Capacity","Has Capacity",
2022-09-26,"IA",29825.6625986833,4260.80894266904,2141.31351277257,305.901930396082,5597.1,2414,1911.31351277257,540,194,366.857142857143,0,6683.0538136646,8.61003503779114,65.8517176256887,64.7950998979145,64.0740740740741,"No","No","Has Capacity","Has Capacity",
2022-09-26,"ID",7368.16194230814,1052.59456318688,630.047579257128,90.0067970367326,1846.4,800,496.047579257128,251,89,217.428571428571,0,5359.12406716418,20.6564406688817,73.1343382118107,71.4591509097396,64.5418326693227,"No","No","Has Capacity","Has Capacity",
2022-09-26,"IL",115060.246637893,16437.1780911275,7660.38387410439,1094.34055344348,22605.6,8561,6598.38387410439,3089,1268,2481.85714285714,0,65635.8692493947,15.0990463758302,70.8108438877783,68.8566335625159,58.9511168662998,"No","No","Has Capacity","Has Capacity",
2022-09-26,"IN",47521.6777823175,6788.81111175964,3593.22559882784,513.317942689692,10708.7,4781,3163.22559882784,2000,672,711,0,20322.4850498339,10.4731150756043,70.461161496467,68.2220006646726,66.4,"No","No","Has Capacity","Has Capacity",
2022-09-26,"KS",52886.0773809524,7555.15391156463,2743.37000823384,391.910001176263,6624.2,3565,2527.37000823384,788,288,397,0,12415.2442396313,5.25469109758723,61.8464115178612,55.9659090909091,63.4517766497462,"No","No","Has Capacity","Has Capacity",
2022-09-26,"KY",29274.3299030259,4182.0471290037,2029.57042417791,289.938632025416,7438.7,2893,1551.57042417791,1335,306,659.285714285714,370,10984.7614444422,15.7646648626549,79.1419142568202,74.6161270509783,77.0786516853933,"No","No","Has Capacity","Has Capacity",
2022-09-26,"LA",35988.5152412171,5141.21646303101,2873.11465906945,410.444951295636,9220.7,3632,2457.11465906945,1458,412,570.285714285714,0,12660.25,11.092427607094,73.352189540171,69.728288048008,71.7421124828532,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MA",25284.6332498826,3612.09046426894,2339.19363584542,334.170519406489,13782.7,2278,1506.19363584542,1199,235,1466.71428571429,0,14436.9743783228,40.6056908104359,89.0718535856877,85.664841734315,80.4003336113428,"No","No","Has Capacity","Has Capacity",
2022-09-26,"MD",25531.848305148,3647.40690073543,1814.26436993826,259.180624276894,8243,2335,1349.26436993826,1262,421,859,0,24582.3306122449,23.5509780887567,83.6313918483773,77.4199787254618,66.6402535657686,"No","No","Has Capacity","Has Capacity",
