"date","state","avgnewcases","new_case"
2021-10-08,"WI",3097.5,3564
2021-10-08,"WV",1379.8,1469
2021-10-08,"WY",487.3,539
2021-10-09,"AK",867,911
2021-10-09,"AL",1182,641
2021-10-09,"AR",733.2,887
2021-10-09,"AS",0.2,0
2021-10-09,"AZ",2558,2358
2021-10-09,"CA",6137.6,0
2021-10-09,"CO",2007.2,1961
2021-10-09,"CT",419.5,367
2021-10-09,"DC",137.9,109
2021-10-09,"DE",485.6,606
2021-10-09,"FL",3770.4,2869
2021-10-09,"FSM",0,0
2021-10-09,"GA",3057.9,1752
2021-10-09,"GU",112.9,61
2021-10-09,"HI",232.9,189
2021-10-09,"IA",1362.6,886
2021-10-09,"ID",1303.7,790
2021-10-09,"IL",2790.9,1965
2021-10-09,"IN",2460.8,1573
2021-10-09,"KS",927.4,566
2021-10-09,"KY",2167.1,1924
2021-10-09,"LA",815.5,487
2021-10-09,"MA",1432.1,1155
2021-10-09,"MD",1202.5,1259
2021-10-09,"ME",495.9,64
2021-10-09,"MI",4223.8,3272
2021-10-09,"MN",2849.1,1065
2021-10-09,"MO",1370.9,770
2021-10-09,"MP",0.9,0
2021-10-09,"MS",656.9,346
2021-10-09,"MT",941,554
2021-10-09,"NC",3737,3411
2021-10-09,"ND",565.6,136
2021-10-09,"NE",627.2,346
2021-10-09,"NH",470,212
2021-10-09,"NJ",1789.7,1828
2021-10-09,"NM",753.2,606
2021-10-09,"NV",699.1,616
2021-10-09,"NY",5001.4,4837
2021-10-09,"OH",5449,3185
2021-10-09,"OK",1288.9,820
2021-10-09,"OR",1388.9,960
2021-10-09,"PA",5040.9,5610
2021-10-09,"PR",128.9,109
2021-10-09,"PW",0.3,0
2021-10-09,"RI",292.2,337
2021-10-09,"RMI",0,0
2021-10-09,"SC",2027.4,1824
2021-10-09,"SD",338.1,107
2021-10-09,"TN",2726.8,2376
2021-10-09,"TX",7787.9,5284
2021-10-09,"UT",1449.1,1091
2021-10-09,"VA",2555.7,1642
2021-10-09,"VI",22.9,25
2021-10-09,"VT",182.9,221
2021-10-09,"WA",2546.3,2178
2021-10-09,"WI",2951.9,1917
2021-10-09,"WV",1356.9,1267
2021-10-09,"WY",461.5,277
2021-10-10,"AK",834.4,911
2021-10-10,"AL",1038.4,460
2021-10-10,"AR",679.5,467
2021-10-10,"AS",0.2,0
2021-10-10,"AZ",2501.8,2182
2021-10-10,"CA",5115.5,0
2021-10-10,"CO",2029,1961
2021-10-10,"CT",439.7,367
2021-10-10,"DC",133.1,109
2021-10-10,"DE",463.6,311
2021-10-10,"FL",3363.7,1866
2021-10-10,"FSM",0,0
2021-10-10,"GA",2745.5,1752
2021-10-10,"GU",110.8,106
2021-10-10,"HI",220.2,200
2021-10-10,"IA",1275.1,886
2021-10-10,"ID",1133.8,206
2021-10-10,"IL",2653,1965
2021-10-10,"IN",2278.2,1573
2021-10-10,"KS",865.6,566
2021-10-10,"KY",2104.8,1560
2021-10-10,"LA",777,487
2021-10-10,"MA",1384.4,1155
2021-10-10,"MD",1187.9,1333
2021-10-10,"ME",421.4,-7
2021-10-10,"MI",4092.6,3272
2021-10-10,"MN",2668.2,1065
2021-10-10,"MO",1255,730
2021-10-10,"MP",0.7,0
2021-10-10,"MS",609.6,349
2021-10-10,"MT",875.5,554
2021-10-10,"NC",3486.8,2583
2021-10-10,"ND",514.3,137
2021-10-10,"NE",598.8,346
2021-10-10,"NH",436.4,212
2021-10-10,"NJ",1700.3,1433
2021-10-10,"NM",713.1,606
2021-10-10,"NV",646.7,616
2021-10-10,"NY",4809,3375
2021-10-10,"OH",5335.9,5399
2021-10-10,"OK",1225.7,820
2021-10-10,"OR",1297.9,960
2021-10-10,"PA",4942.4,3907
2021-10-10,"PR",137.3,175
2021-10-10,"PW",0.3,0
2021-10-10,"RI",278.2,236
2021-10-10,"RMI",0,0
2021-10-10,"SC",1954.7,1468
2021-10-10,"SD",301.6,107
2021-10-10,"TN",2452.1,1390
2021-10-10,"TX",6926,1628
2021-10-10,"UT",1387.8,1091
2021-10-10,"VA",2464.7,1642
2021-10-10,"VI",19.7,5
2021-10-10,"VT",182.9,209
2021-10-10,"WA",2472.5,2178
2021-10-10,"WI",2872.7,1917
2021-10-10,"WV",1267.9,1071
2021-10-10,"WY",425.5,277
